Rank,Author,Title,Citations,Year,Publisher,Venue,Content,Source,cit/year
88,"Y Gao, Y Xiong, M Wang, H Wang",Modular rag: Transforming rag systems into lego-like reconfigurable frameworks,11,2024, arxiv.org, arXiv preprint arXiv:2407.21059,"… However, the rapid advancements are outpacing the foundational RAG paradigm, with … 
RAG paradigm and introduces the modular RAG framework. By decomposing complex RAG …",https://arxiv.org/abs/2407.21059,6
91,"S Roychowdhury, S Soman, HG Ranjani…",Evaluation of rag metrics for question answering in the telecom domain,11,2024, arxiv.org, arXiv preprint arXiv …,"… and answer relevance to assess RAG responses using specific … to evaluate these metrics 
for RAG systems in technical domains… Further, there can be potential improvements in the RAG …",https://arxiv.org/abs/2407.12873,6
27,"Y Mao, X Dong, W Xu, Y Gao, B Wei…",Fit-rag: black-box rag with factual information and token reduction,11,2024, arxiv.org, arXiv preprint arXiv …,"… -box RAG. To address these issues, this paper proposes a novel black-box RAG framework 
… in the retrieval and reduces the number of tokens for augmentation, dubbed FIT-RAG. FIT-…",https://arxiv.org/abs/2403.14374,6
89,"V Raina, M Gales",Question-based retrieval using atomic units for enterprise rag,11,2024, arxiv.org, arXiv preprint arXiv:2405.12363,"… Hence, this work focuses on building upon zero-shot approaches to improve the retrieval 
step for RAG. A potential limitation of the RAG set-up is that an embedding model is used to …",https://arxiv.org/abs/2405.12363,6
37,"M Arslan, S Munawar, C Cruz",Business insights using RAG–LLMs: a review and case study,11,2024, Taylor & Francis, Journal of Decision Systems,"… Despite the potential, research on RAG-LLM applications in the business domain is limited… 
RAG-LLM applications across disciplines, and presents a case study demonstrating how RAG-…",https://www.tandfonline.com/doi/abs/10.1080/12460125.2024.2410040,6
90,"D Rau, S Wang, H Déjean, S Clinchant",Context embeddings for efficient answer generation in rag,10,2024, arxiv.org, arXiv preprint arXiv:2407.09252,"… RAG, efficiency, and compression approaches. We continue in Section 3 discussing the RAG 
… Section 4 details the experimental setup in terms of the RAG models and the five QA tasks. …",https://arxiv.org/abs/2407.09252,5
7,"M Arslan, H Ghanem, S Munawar, C Cruz",A Survey on RAG with LLMs,10,2024, Elsevier, Procedia Computer Science,"… ] have explored technological advancements in RAG. Although these surveys provide … RAG 
applications. To address this gap, this paper aims to provide an exhaustive overview of RAG …",https://www.sciencedirect.com/science/article/pii/S1877050924021860,5
49,"Q Leng, J Portes, S Havens, M Zaharia…",Long context rag performance of large language models,10,2024, arxiv.org, arXiv preprint arXiv …,"… RAG applications. While there has been recent speculation that long context LLMs will replace 
RAG … context LLMs can indeed be used effectively for RAG systems. How well do the best …",https://arxiv.org/abs/2411.03538,5
95,"S Alghisi, M Rizzoli, G Roccabruna…",Should we fine-tune or rag? evaluating different techniques to adapt llms for dialogue,9,2024, arxiv.org, arXiv preprint arXiv …,"We study the limitations of Large Language Models (LLMs) for the task of response generation 
in human-machine dialogue. Several techniques have been proposed in the literature for …",https://arxiv.org/abs/2406.06399,4
39,"T Şakar, H Emekci",Maximizing RAG efficiency: A comparative analysis of RAG methods,9,2025, cambridge.org, Natural Language Processing,"… (RAG) processes by exploring various methodologies, including advanced RAG methods. … 
We evaluated multiple RAG methods across different vectorstores, embedding models, and …",https://www.cambridge.org/core/journals/natural-language-processing/article/maximizing-rag-efficiency-a-comparative-analysis-of-rag-methods/D7B259BCD35586E04358DF06006E0A85,9
43,"F Petroni, F Siciliano, F Silvestri…",IR-RAG@ SIGIR24: Information retrieval's role in RAG systems,9,2024, dl.acm.org, Proceedings of the 47th …,"… RAG frameworks. We argue that current efforts have undervalued the role of Information 
Retrieval (IR) in the RAG and … the overall performance and outcomes of RAG models. We call for …",https://dl.acm.org/doi/abs/10.1145/3626772.3657984,4
64,"M Besta, A Kubicek, R Niggli, R Gerstenberger…",Multi-head rag: Solving multi-aspect problems with LLMs,7,2024, arxiv.org, arXiv preprint arXiv …,"… RAG schemes and have been unaddressed by modern RAG … We ensure the relevance of 
our RAG datasets in real use … , all of which actively use RAG in their own LLM infrastructures. …",https://arxiv.org/abs/2406.05085,4
44,"XP Nguyen, S Pandit, S Purushwalkam, A Xu…",Sfr-rag: Towards contextually faithful llms,6,2024, arxiv.org, arXiv preprint arXiv …,"… In this paper, we introduce SFR-RAG, a small LLM that is instruction-tuned with an … and 
diverse RAG benchmarks, such as HotpotQA and TriviaQA, with consistent RAG settings to …",https://arxiv.org/abs/2409.09916,3
78,"KW Church, J Sun, R Yue, P Vickers…",Emerging trends: a gentle introduction to RAG,5,2024, cambridge.org, Natural Language …,"… For example, in a customer service scenario, with RAG, we can … ://github.com/kwchurch/RAG 
for multiple solutions based on … In Subsection 3.2, we will show how RAG can work around …",https://www.cambridge.org/core/journals/natural-language-engineering/article/emerging-trends-a-gentle-introduction-to-rag/4FF461F4066A0C16135F2D2849E3356A,2
99,"S Simon, A Mailach, J Dorn, N Siegmund",A Methodology for Evaluating RAG Systems: A Case Study On Configuration Dependency Validation,5,2024, arxiv.org, arXiv preprint arXiv …,"… So, configuration validation represents a prime example of a complex software engineering 
task that could be improved by RAG and we will use it to demonstrate how RAG systems can …",https://arxiv.org/abs/2410.08801,2
98,"H Zhou, KH Lee, Z Zhan, Y Chen, Z Li, Z Wang…",Trustrag: Enhancing robustness and trustworthiness in rag,3,2025, arxiv.org, arXiv preprint arXiv …,"… These RAG failures raise the important question of how to safeguard an RAG pipeline. … 
Additionally, we compare TrustRAG with advanced RAG systems and achieve State-of-the-Art …",https://arxiv.org/abs/2501.00879,3
82,"J Zhang, G Li, J Su",Sage: A framework of precise retrieval for rag,2,2025, arxiv.org, arXiv preprint arXiv:2503.01713,"… (C4) Through detailed experimentation, we demonstrate that our RAG framework … RAG 
tasks, providing researchers in the field with guidance for developing more effective RAG …",https://arxiv.org/abs/2503.01713,2
42,"H Han, H Shomer, Y Wang, Y Lei, K Guo, Z Hua…",Rag vs. graphrag: A systematic evaluation and key insights,2,2025, arxiv.org, arXiv preprint arXiv …,"… and weaknesses of RAG and GraphRAG across different tasks. Our findings reveal that RAG 
and … For the Question Answering task, we observe that RAG performs better on singlehop …",https://arxiv.org/abs/2502.11371,2
71,"RT De Lima, S Gupta, C Berrospi, L Mishra…",Know Your RAG: Dataset Taxonomy and Generation Strategies for Evaluating RAG Systems,2,2024, arxiv.org, arXiv preprint arXiv …,"… RAG dataset generation can lead to unbalanced data. We propose solutions to these issues 
based on the characterization of RAG … know-your-data step of RAG systems development. …",https://arxiv.org/abs/2411.19710,1
35,"O Huly, I Pogrebinsky, D Carmel, O Kurland…",Old IR Methods Meet RAG,2,2024, dl.acm.org, Proceedings of the 47th …,"… Additional exploration sheds some light on the effectiveness of lexical retrieval methods 
for RAG. Our findings call for further study of classical retrieval methods for RAG. …",https://dl.acm.org/doi/abs/10.1145/3626772.3657935,1
53,"Y Mao, X Dong, W Xu, Y Gao, B Wei…",Fit-rag: Black-box rag with factual information and token reduction,2,2025, dl.acm.org, ACM Transactions on …,"… This article focuses on RAG system for black-box LLMs, namely black-box RAG. In this 
section, we first give the definition of RAG and subsequently introduce the black-box RAG. RAG. …",https://dl.acm.org/doi/abs/10.1145/3676957,2
94,"J Genesis, F Keane",Integrating Knowledge Retrieval with Generation: A Comprehensive Survey of RAG Models in NLP,1,2025, preprints.org,,"… In this survey, we provide a detailed exploration of RAG models, … of RAG models, demonstrating 
their effectiveness across various NLP tasks and domains. Despite the success of RAG …",https://www.preprints.org/manuscript/202504.0351,1
